City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,294.21,61,6,9.08,ZA,1700667919
1,grytviken,-54.2811,-36.5092,274.6,100,100,2.58,GS,1700667920
2,ilulissat,69.2167,-51.1,268.16,68,75,7.2,GL,1700667921
3,edinburgh of the seven seas,-37.0676,-12.3116,287.02,79,54,9.23,SH,1700667921
4,dalbandin,28.8947,64.4101,295.36,40,2,4.0,PK,1700667922
5,taksimo,56.3444,114.8794,252.65,89,100,1.21,RU,1700667923
6,mamadysh,55.7152,51.408,265.75,94,100,7.71,RU,1700667924
7,whitehorse,60.7161,-135.0538,267.58,92,40,10.29,CA,1700667925
8,yoloten,37.2989,62.3597,284.71,46,8,2.49,TM,1700667925
9,klyuchi,52.2667,79.1667,269.75,50,100,5.35,RU,1700667926
10,lazaro cardenas,17.9583,-102.2,301.07,69,95,1.78,MX,1700667928
11,east london,-33.0153,27.9116,298.67,73,0,4.12,ZA,1700667929
12,cooma,-36.2333,149.1333,284.57,94,53,0.54,AU,1700667930
13,nikolayevsk-on-amure,53.1406,140.73,259.21,90,65,2.49,RU,1700667931
14,armacao de buzios,-22.7469,-41.8817,306.24,75,33,9.5,BR,1700667932
15,ushuaia,-54.8,-68.3,280.94,71,40,11.18,AR,1700667933
16,west island,-12.1568,96.8225,299.14,83,100,4.63,CC,1700667933
17,massawa,15.6097,39.45,302.6,71,92,2.23,ER,1700667934
18,misratah,32.3754,15.0925,297.06,32,69,6.17,LY,1700667935
19,sinop,41.7711,34.8709,282.87,65,100,5.85,TR,1700667936
20,happy valley-goose bay,53.3168,-60.3315,267.32,73,75,4.12,CA,1700667937
21,port-aux-francais,-49.35,70.2167,277.2,78,65,8.21,TF,1700667937
22,beryozovsky,56.9083,60.8019,267.01,85,40,3.0,RU,1700667938
23,thompson,55.7435,-97.8558,256.24,78,0,5.14,CA,1700667939
24,oeiras,-7.0253,-42.1311,305.43,47,42,2.61,BR,1700667940
25,blackmans bay,-43.0167,147.3167,282.22,92,18,0.45,AU,1700667941
26,papatowai,-46.5619,169.4708,285.43,98,95,1.66,NZ,1700667942
27,lebu,-37.6167,-73.65,286.98,60,24,6.17,CL,1700667943
28,mapimi,25.8167,-103.85,281.8,59,55,2.77,MX,1700667943
29,margaret river,-33.95,115.0667,294.92,43,3,7.47,AU,1700667944
30,adamstown,-25.066,-130.1015,293.65,66,0,3.07,PN,1700667945
31,baryshivka,50.361,31.3217,270.03,56,99,3.52,UA,1700667946
32,colonia,50.9333,6.95,280.35,63,0,1.54,DE,1700667947
33,tiksi,71.6872,128.8694,241.76,99,62,2.66,RU,1700667947
34,albany,42.6001,-73.9662,277.95,94,100,0.89,US,1700667926
35,villa de soto,-30.8552,-64.9995,300.59,35,33,5.34,AR,1700667949
